Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2
NRP-M,202503,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202503,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202504,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202504,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202505,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202505,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202506,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202506,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202507,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202507,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202508,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202508,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202509,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202509,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-S,201912,Total_Coverage_Ratio,0,999,CohortAvg,6,
NRP-S,202001,Total_Coverage_Ratio,0,999,CohortAvg,6,
NRP-S,202101,Total_Coverage_Ratio,0,999,CohortAvg,6,
NRP-S,202201,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202201,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202301,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202301,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202404,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202404,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202405,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202405,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202406,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202406,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202407,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202407,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202408,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202408,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202409,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202409,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202410,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202410,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202411,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202411,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202412,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202412,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202501,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202501,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202502,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202502,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202503,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202503,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202504,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202504,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202505,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202505,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202506,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202506,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202507,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202507,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202508,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202508,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-S,202509,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NRP-S,202509,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-L,202301,Total_Coverage_Ratio,0,999,CohortAvg,6,
NRP-L,202404,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202404,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202405,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202405,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202406,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202406,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202407,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202407,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202408,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202408,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202409,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202409,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202410,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202410,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202411,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202411,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202412,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202412,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202501,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202501,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202502,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202502,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202503,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202503,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202504,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202504,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202505,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202505,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202506,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202506,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202507,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202507,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202508,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202508,Total_Coverage_Ratio,23,999,CohortAvg,6,
NRP-L,202509,Total_Coverage_Ratio,0,22,DonorCohort,202301,
NRP-L,202509,Total_Coverage_Ratio,23,999,CohortAvg,6,
PRIME,202101,Total_Coverage_Ratio,0,999,CohortAvg,6,
PRIME,202201,Total_Coverage_Ratio,0,54,DonorCohort,202101,
PRIME,202201,Total_Coverage_Ratio,55,999,CohortAvg,6,
PRIME,202405,Total_Coverage_Ratio,0,54,DonorCohort,202101,
PRIME,202405,Total_Coverage_Ratio,55,999,CohortAvg,6,
PRIME,202407,Total_Coverage_Ratio,0,54,DonorCohort,202101,
PRIME,202407,Total_Coverage_Ratio,55,999,CohortAvg,6,
PRIME,202409,Total_Coverage_Ratio,0,54,DonorCohort,202101,
PRIME,202409,Total_Coverage_Ratio,55,999,CohortAvg,6,
PRIME,202504,Total_Coverage_Ratio,0,54,DonorCohort,202101,
PRIME,202504,Total_Coverage_Ratio,55,999,CohortAvg,6,
PRIME,202507,Total_Coverage_Ratio,0,54,DonorCohort,202101,
PRIME,202507,Total_Coverage_Ratio,55,999,CohortAvg,6,
PRIME,202508,Total_Coverage_Ratio,0,54,DonorCohort,202101,
PRIME,202508,Total_Coverage_Ratio,55,999,CohortAvg,6,
PRIME,202509,Total_Coverage_Ratio,0,54,DonorCohort,202101,
PRIME,202509,Total_Coverage_Ratio,55,999,CohortAvg,6,
ALL,ALL,Total_Coverage_Ratio,0,999,CohortAvg,6,
